Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Aug 20, 2019;Aug 21, 2019;1,340,286.25;1,363,808.75;23,522.50;1,085,045.75
Aug 21, 2019;Aug 22, 2019;1,327,486.25;1,356,455.25;28,969.00;1,052,142.25
Aug 22, 2019;Aug 23, 2019;1,331,355.75;1,361,823.75;30,468.00;970,484.25
Aug 23, 2019;Aug 24, 2019;1,315,223.25;1,335,789.50;20,566.25;1,008,224.00
Aug 24, 2019;Aug 25, 2019;1,132,743.25;1,158,211.00;25,467.75;764,112.00
Aug 25, 2019;Aug 26, 2019;1,056,819.25;1,092,845.50;36,026.25;720,756.00
Aug 26, 2019;Aug 27, 2019;1,362,267.00;1,384,965.25;22,698.25;1,092,899.50
Aug 27, 2019;Aug 28, 2019;1,421,446.25;1,454,948.25;33,502.00;1,134,276.75
Aug 28, 2019;Aug 29, 2019;1,430,407.75;1,464,043.75;33,636.00;1,158,579.75
Aug 29, 2019;Aug 30, 2019;1,404,336.00;1,432,631.00;28,295.00;1,158,145.00
Aug 30, 2019;Aug 31, 2019;1,366,225.25;1,394,655.50;28,430.25;1,114,273.00
Aug 31, 2019;Sep 1, 2019;1,162,161.75;1,186,428.75;24,267.00;818,028.00
Sep 1, 2019;Sep 2, 2019;1,071,957.25;1,112,921.75;40,964.50;669,101.50
Sep 2, 2019;Sep 3, 2019;1,327,201.00;1,346,838.75;19,637.75;963,103.75
Sep 3, 2019;Sep 4, 2019;1,378,854.50;1,411,746.00;32,891.50;882,619.75
Sep 4, 2019;Sep 5, 2019;1,373,421.00;1,402,548.00;29,127.00;883,697.00
Sep 5, 2019;Sep 6, 2019;1,409,526.25;1,439,407.00;29,880.75;821,327.50
Sep 6, 2019;Sep 7, 2019;1,361,783.75;1,389,719.00;27,935.25;896,223.00
Sep 7, 2019;Sep 8, 2019;1,141,407.50;1,162,263.25;20,855.75;935,534.25
Sep 8, 2019;Sep 9, 2019;1,054,518.00;1,083,888.00;29,370.00;923,411.50
Sep 9, 2019;Sep 10, 2019;1,345,338.50;1,372,102.50;26,764.00;1,163,434.00
Sep 10, 2019;Sep 11, 2019;1,390,743.25;1,417,166.25;26,423.00;930,897.50
Sep 11, 2019;Sep 12, 2019;1,409,536.75;1,437,474.00;27,937.25;893,137.75
Sep 12, 2019;Sep 13, 2019;1,407,702.75;1,431,243.50;23,540.75;975,060.50
Sep 13, 2019;Sep 14, 2019;1,401,072.25;1,427,854.00;26,781.75;926,487.25
Sep 14, 2019;Sep 15, 2019;1,158,039.50;1,179,255.25;21,215.75;865,817.00
Sep 15, 2019;Sep 16, 2019;1,109,685.00;1,155,903.00;46,218.00;511,036.75
Sep 16, 2019;Sep 17, 2019;1,378,559.50;1,390,945.00;12,385.50;1,079,161.75
Sep 17, 2019;Sep 18, 2019;1,446,150.50;1,481,893.50;35,743.00;763,406.50
Sep 18, 2019;Sep 19, 2019;1,422,452.25;1,454,213.75;31,761.50;793,733.50
Sep 19, 2019;Sep 20, 2019;1,383,852.00;1,402,280.25;18,428.25;1,010,661.00
Sep 20, 2019;Sep 21, 2019;1,359,178.75;1,380,531.25;21,352.50;1,069,256.00
Sep 21, 2019;Sep 22, 2019;1,151,972.00;1,178,488.50;26,516.50;794,323.75
Sep 22, 2019;Sep 23, 2019;1,070,983.00;1,106,141.00;35,158.00;675,486.00
Sep 23, 2019;Sep 24, 2019;1,390,845.00;1,408,690.00;17,845.00;1,123,429.75
Sep 24, 2019;Sep 25, 2019;1,402,773.00;1,429,904.00;27,131.00;1,171,351.00
Sep 25, 2019;Sep 26, 2019;1,406,429.50;1,433,712.50;27,283.00;1,165,214.75
Sep 26, 2019;Sep 27, 2019;1,428,329.25;1,451,579.75;23,250.50;1,096,077.50
Sep 27, 2019;Sep 28, 2019;1,412,532.75;1,435,765.25;23,232.50;960,242.75
Sep 28, 2019;Sep 29, 2019;1,215,256.25;1,254,795.50;39,539.25;451,910.50
Sep 29, 2019;Sep 30, 2019;1,144,073.25;1,190,963.25;46,890.00;361,430.75
Sep 30, 2019;Oct 1, 2019;1,445,605.00;1,482,523.75;36,918.75;559,954.75
Oct 1, 2019;Oct 2, 2019;1,449,526.50;1,475,502.25;25,975.75;952,589.75
Oct 2, 2019;Oct 3, 2019;1,432,344.75;1,466,784.25;34,439.50;909,429.00
Oct 3, 2019;Oct 4, 2019;1,146,045.00;1,173,903.25;27,858.25;790,053.25
Oct 4, 2019;Oct 5, 2019;1,266,766.00;1,292,302.50;25,536.50;940,797.00
Oct 5, 2019;Oct 6, 2019;1,186,621.25;1,216,071.00;29,449.75;798,986.00
Oct 6, 2019;Oct 7, 2019;1,122,746.75;1,159,987.75;37,241.00;705,597.75
Oct 7, 2019;Oct 8, 2019;1,392,578.00;1,412,630.75;20,052.75;1,104,132.00
Oct 8, 2019;Oct 9, 2019;1,468,772.50;1,496,912.75;28,140.25;889,097.75
Oct 9, 2019;Oct 10, 2019;1,469,691.50;1,496,858.25;27,166.75;855,976.75
Oct 10, 2019;Oct 11, 2019;1,483,248.50;1,515,956.50;32,708.00;744,225.25
Oct 11, 2019;Oct 12, 2019;1,493,783.75;1,531,366.75;37,583.00;588,306.00
Oct 12, 2019;Oct 13, 2019;1,249,982.50;1,290,486.75;40,504.25;534,827.25
Oct 13, 2019;Oct 14, 2019;1,123,113.50;1,156,439.75;33,326.25;572,192.25
Oct 14, 2019;Oct 15, 2019;1,413,059.25;1,436,281.50;23,222.25;946,285.25
Oct 15, 2019;Oct 16, 2019;1,452,183.75;1,476,635.50;24,451.75;1,124,323.00
Oct 16, 2019;Oct 17, 2019;1,469,907.50;1,502,590.00;32,682.50;981,357.75
Oct 17, 2019;Oct 18, 2019;1,459,457.00;1,485,282.75;25,825.75;1,057,695.50
Oct 18, 2019;Oct 19, 2019;1,454,836.75;1,483,033.00;28,196.25;858,455.00
Oct 19, 2019;Oct 20, 2019;1,246,558.00;1,269,827.00;23,269.00;732,888.50
Oct 20, 2019;Oct 21, 2019;1,109,418.00;1,133,966.50;24,548.50;887,234.25
Oct 21, 2019;Oct 22, 2019;1,408,883.75;1,440,243.75;31,360.00;1,172,724.75
Oct 22, 2019;Oct 23, 2019;1,443,680.50;1,480,323.50;36,643.00;1,206,235.75
Oct 23, 2019;Oct 24, 2019;1,443,132.75;1,473,935.50;30,802.75;1,213,207.25
Oct 24, 2019;Oct 25, 2019;1,456,875.25;1,488,462.75;31,587.50;1,130,920.50
Oct 25, 2019;Oct 26, 2019;1,454,347.50;1,485,563.00;31,215.50;849,420.25
Oct 26, 2019;Oct 27, 2019;1,279,345.00;1,316,263.50;36,918.50;468,872.00
Oct 27, 2019;Oct 28, 2019;1,225,305.75;1,258,731.25;33,425.50;540,580.75
Oct 28, 2019;Oct 29, 2019;1,451,120.50;1,479,860.50;28,740.00;1,093,198.25
Oct 29, 2019;Oct 30, 2019;1,473,848.50;1,500,987.50;27,139.00;1,281,272.75
Oct 30, 2019;Oct 31, 2019;1,466,933.75;1,495,747.00;28,813.25;1,262,389.75
